activation_composition,architecture,mean_test_accuracy,std_test_accuracy,best_test_accuracy,n_trials,epochs,batch_size
"(('relu', 'relu', 'softplus', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus'))","[6, 6]",0.8818199999999999,0.019648348531110714,0.902,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.88338,0.013954984772474678,0.8941,5,10,128
"(('softplus', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'relu', 'softplus'))","[6, 6]",0.9011199999999999,0.005902677358622935,0.9102,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'softplus'), ('relu', 'relu', 'relu', 'softplus', 'softplus'))","[7, 5]",0.89878,0.00498212805937384,0.9039,5,10,128
"(('leaky_relu', 'relu', 'relu', 'softplus', 'tanh'), ('relu', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh'))","[5, 7]",0.87706,0.006121307049968985,0.8869,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'tanh'), ('leaky_relu', 'relu', 'softplus', 'tanh', 'tanh'))","[7, 5]",0.8961,0.009440974525969252,0.9024,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'tanh', 'tanh'))","[5, 7]",0.8905600000000001,0.0070531127879823454,0.8988,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh', 'tanh'))","[7, 5]",0.90018,0.003648780618233988,0.905,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'softplus', 'tanh'))","[5, 7]",0.8817600000000001,0.015523607828079171,0.8933,5,10,128
"(('leaky_relu', 'relu', 'relu', 'relu', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'softplus'))","[5, 7]",0.8891399999999999,0.0024759644585494287,0.8916,5,10,128
"(('relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh'), ('relu', 'relu', 'softplus', 'softplus', 'softplus', 'tanh'))","[6, 6]",0.89556,0.007584616008737687,0.9059,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'tanh', 'tanh'), ('relu', 'relu', 'softplus', 'softplus', 'softplus'))","[7, 5]",0.88748,0.010893924912537257,0.8989,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'softplus', 'tanh'), ('softplus', 'tanh', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.8942400000000001,0.004515130119941179,0.9018,5,10,128
